name,alt_standard_price,default_code,profit_margin_1,profit_margin_2,profit_margin_3,profit_margin_4,freight_1,freight_2,freight_3,freight_4
Motor ventilador con turbina ford bronco lariat,"24,37",01580006,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford escape 2001 - 2007,"26,81",01580007,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford explorer 1999 - 2004,22,01580008,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford explorer 2004 - 2005,0,01580009,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Motor ventilador con turbina ford f-350 heavy duty - triton 1999 - 2010,22,01580029,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford f-350 triton 2001 - 2004,"19,61",01580045,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford fiesta 1997 - 2004,"28,98",01580010,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford fiesta power 2002 - 2008,0,01580044,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Motor ventilador con turbina ford focus 2000 - 2006,"24,27",01580011,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina ford ka 2005 - 2007,"21,59",01580031,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina gm aveo,"21,96",01580013,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina gm corsa 2004 - 2006,"21,44",01580016,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina gm luv d-max,0,01580017,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Motor ventilador con turbina gm optra,"19,15",01580018,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina gm spark - hyundai atoz,"23,58",01580019,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina jeep gran cherokee 1999 - 2001 toyota hilux,"24,75",01580020,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina kia rio 2005 - 2008,"22,25",01580021,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina toyota 4runner 96 - 2002,"23,2",01580042,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina toyota terios 2002 - 2007,33,01580024,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina toyota terios bego 2008 - 2010,"21,81",01580025,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador con turbina toyota yaris 2000 - 2005 - meru 2008,"21,32",01580026,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador cortina 2 ejes 120 cm 115v,"15,03",06240069,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor ventilador cortina 2 ejes 90 cm 115v,"14,66",06240068,"0,7","0,7","0,8","0,81","0,85","0,85","0,85","0,85"
Motor ventilador hyundai accent,"31,07",01580040,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador sin turbina ford explorer 1999 - 2004,"22,77",01580028,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador sin turbina ford fiesta power - eco sport,"21,96",01580030,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador sin turbina gm corsa 2001 - 2003,"23,02",01580015,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador sin turbina gm gran vitara - toyota corolla 2006,0,01580033,"0,8","0,85","0,9","0,91","0,9","0,9","0,9","0,9"
Motor ventilador sin turbina isuzu caribe 1984-1987,18,01580014,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador sin turbina jeep cherokee,"15,93",01580035,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Motor ventilador toyota starlet,"21,25",01580043,"0,85","0,85","0,9","0,91","0,85","0,85","0,85","0,85"
Multimetro digital capacimetro mfd multimeter,"18,97",19490004,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica 1000amp 750v cps,85,19490001,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica clamp meter dt203 - vc3266,"7,04",19490007,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica con termometro rgc,"6,6",19490006,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica dt203,21,19490015,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica quality dm-266c con control de temperatura,"10,37",19490010,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Multimetro digital pinza voltiamperimetrica rgc,"8,56",19490008,"0,8","0,8","0,85","0,86","0,85","0,85","0,85","0,85"
Orificio coldtech no 00 r-12 0.2 ton r-22 0.3 ton,"2,34",12560015,"0,88","0,88","0,9","0,91","0,85","0,85","0,85","0,85"
