id,default_code
__export__.product_template_10172_ccf3d090,14200198
__export__.product_template_10162_5dbacd6c,14200179
__export__.product_template_10164_3cfac2ef,14200182
__export__.product_template_10165_2fd06be3,14200184
__export__.product_template_10167_ec6ee8b9,14200188
__export__.product_template_10252_ff2ba965,14300110
__export__.product_template_10259_9adb3f6e,14300305
__export__.product_template_10171_46730d1c,14200194
__export__.product_template_10174_a430e261,14200201
__export__.product_template_10175_4e653e03,14200202
__export__.product_template_10176_3aab07de,14200203
__export__.product_template_10177_c032d5c6,14200204
__export__.product_template_10178_da5f4739,14200205
__export__.product_template_10180_9eb8af8a,14200207
__export__.product_template_10182_b1faf93c,14200210
__export__.product_template_10183_1973c0cc,14200211
__export__.product_template_10253_5350db8c,14300115
__export__.product_template_10184_a8a02eca,14200212
__export__.product_template_10258_3abcd0ae,14300300
__export__.product_template_10187_f0043c3a,14200216
__export__.product_template_10188_7a7a878a,14200217
__export__.product_template_10189_96378f80,14200218
__export__.product_template_10190_a29a81c9,14200219
__export__.product_template_10191_0a141431,14200220
__export__.product_template_10254_34d5acbb,14300117
__export__.product_template_10202_e01f05ca,14200233
__export__.product_template_10197_46a2c18a,14200228
__export__.product_template_10199_d557ad3e,14200230
__export__.product_template_10200_a5f753a6,14200231
__export__.product_template_10201_7b7b71d9,14200232
__export__.product_template_10206_6e21a507,14200238
__export__.product_template_10207_97d8c70d,14200240
__export__.product_template_10209_27806efc,14200245
__export__.product_template_10255_7e1410a3,14300118
__export__.product_template_10263_0746e114,14400020
__export__.product_template_10264_d02d10b9,14400027
__export__.product_template_10266_b86e6eba,14400030
__export__.product_template_10267_679c168b,14400037
__export__.product_template_10271_79a5093a,14400049
__export__.product_template_10265_124a7537,14400029
__export__.product_template_10272_bd78eea8,14400051
__export__.product_template_10273_a753ed4f,14400052
__export__.product_template_10269_0b22ca5c,14400044
__export__.product_template_4433_7fca9e0c,01220032
__export__.product_template_4451_684c05b8,01220053
__export__.product_template_4447_e9f3b9ab,01220049
__export__.product_template_4439_6036057a,01220039
__export__.product_template_4437_c8aa0173,01220036
__export__.product_template_8475_09667cb1,12160080
__export__.product_template_8470_2e1f3361,12160033
__export__.product_template_8476_68f00c5a,12160085
__export__.product_template_8472_a37fe0fe,12160040
__export__.product_template_8459_3bc48670,121600201
