id,default_code,alt_standard_price,pricelist_item_type_1_margin,pricelist_item_type_2_margin,pricelist_item_type_3_margin,pricelist_item_type_4_margin,pricelist_item_type_5_margin,pricelist_item_type_1_freight,pricelist_item_type_2_freight,pricelist_item_type_3_freight,pricelist_item_type_4_freight,pricelist_item_type_5_freight
__export__.product_product_7170_aaab412c,12110034,"16,15","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7171_b1bca190,12110039,"24,50","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7172_bc193bea,12110041,"21,07","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7173_a13514e0,12110042,"26,00","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7174_db43073e,12110043,"28,00","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7175_f68e592a,12110044,"35,77","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7176_49e9f1d2,12110061,"0,92","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7177_6cb6db80,12110064,"0,63","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7178_7b9944e6,12110067,"0,53","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7179_4f0c4084,12110070,"1,08","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7180_7ffca7f4,12110071,"0,70","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7181_e9deae6f,12110078,"21,39","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7182_b6177b0e,12110079,"26,90","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7183_7e9e47df,12110080,"29,51","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7184_8421018c,12110081,"31,97","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7185_7f661b5a,12110082,"40,43","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7186_be42ebab,12110083,"37,19","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7187_0b18a016,12110084,"0,42","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7188_0fe14263,12110085,"0,60","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7189_708530f5,12110086,"0,87","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7190_ff24e16c,12110087,"1,04","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7191_ae5a8836,12110088,"1,87","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7192_0f2423a3,12110089,"0,42","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7193_1fb5a7ed,12110090,"0,60","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7194_83645112,12110091,"0,87","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7195_e5da5818,12110092,"1,04","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7196_6d118e85,12110093,"1,87","0,70","0,70","0,80","0,81","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7197_594819c4,12140001,"43,03","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7198_5765a988,12140003,"20,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7199_17f07bf3,12140004,"24,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7200_e44c0a6b,12140005,"28,61","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7201_99355ca4,12140006,"33,00","0,65","0,65","0,75","0,76","0,00","0,85","0,85","0,85","0,85","0,00"
__export__.product_product_7202_e9d370ed,12140007,"0,00","0,70","0,75","0,80","0,81","0,00","0,90","0,90","0,90","0,90","0,00"
